GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},0,19,0,0,0,3,0,3,0,3
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},27,0,2,0,4,0,5,0,4,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.new InvalidMarkupInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator.visitors,UnsupportedMarkupInspector,329,31,31,1,82,8,37,3,21,3
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.CollectionSize,4,28,2,2,1,8,2,3,0,3
JPMML evaluator,org.jpmml.evaluator.visitors,InvalidMarkupInspector.Condition,4,21,1,1,1,8,1,3,0,3
JPMML evaluator,org.jpmml.evaluator.clustering,ClusteringModelEvaluator,151,251,19,20,33,62,19,12,3,8
JPMML evaluator,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},8,3,0,0,2,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,18,0,0,0,4,0,3,0,3
JPMML evaluator,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new ClusterAffinityDistribution() {...},0,12,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.clustering,ClusterAffinityDistribution,19,20,0,0,5,7,4,5,4,5
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.new Function() {...},6,13,1,1,1,4,1,2,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator,948,526,160,53,234,140,119,30,17,16
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.PredictorHandler,6,30,1,1,1,11,1,4,0,4
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Function() {...},13,67,2,6,2,16,2,4,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},5,3,0,0,1,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Function() {...},0,13,0,2,0,5,0,3,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelUtil,86,0,23,0,25,0,20,0,2,0
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.FactorHandler,21,27,3,1,4,10,3,3,1,3
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.CovariateHandler,12,46,2,2,2,14,2,4,0,4
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row,20,140,5,9,5,33,5,8,0,6
JPMML evaluator,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.ContrastMatrixHandler,13,103,4,4,3,28,4,10,0,10
JPMML evaluator,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ContinuousValue.ContinuousDouble,11,27,2,2,2,8,2,5,0,5
JPMML evaluator,org.jpmml.evaluator,ExpressionUtil,159,566,34,83,29,151,29,52,1,18
JPMML evaluator,org.jpmml.evaluator,OutputUtil,282,831,49,100,65,238,49,62,2,18
JPMML evaluator,org.jpmml.evaluator,SecondsSinceDate,19,60,4,4,3,15,5,7,1,7
JPMML evaluator,org.jpmml.evaluator,ValueAggregator,45,232,15,27,11,58,15,17,0,11
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactoryFactory,4,35,1,2,1,11,1,6,0,5
JPMML evaluator,org.jpmml.evaluator,ComplexFloatVector,120,0,8,0,28,0,14,0,10,0
JPMML evaluator,org.jpmml.evaluator,ReportUtil,4,29,3,3,2,6,3,2,0,2
JPMML evaluator,org.jpmml.evaluator,ValueFactoryFactory,4,16,1,2,1,6,1,4,0,3
JPMML evaluator,org.jpmml.evaluator,Classification.Type,18,124,1,3,4,23,3,10,2,9
JPMML evaluator,org.jpmml.evaluator,NotImplementedException,4,0,0,0,2,0,1,0,1,0
JPMML evaluator,org.jpmml.evaluator,OutputField,31,28,1,1,9,11,5,5,4,5
JPMML evaluator,org.jpmml.evaluator,OutputFilters.new OutputFilter() {...},0,6,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,TextUtil.TextProcessor,0,39,1,1,0,11,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,Classification,52,198,5,7,13,58,7,25,2,24
JPMML evaluator,org.jpmml.evaluator,OutputFilters.new OutputFilter() {...},0,5,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,UndefinedResultException,0,4,0,0,0,2,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,SetHolder,19,0,2,0,4,0,2,0,1,0
JPMML evaluator,org.jpmml.evaluator,MissingFieldException,6,17,0,0,2,3,1,2,1,2
JPMML evaluator,org.jpmml.evaluator,CategoricalValue.CategoricalString,4,17,1,1,1,5,1,3,0,3
JPMML evaluator,org.jpmml.evaluator,TargetFieldUtil,46,55,13,8,12,16,11,1,0,1
JPMML evaluator,org.jpmml.evaluator,IndexableUtil,35,45,6,6,8,11,6,5,2,3
JPMML evaluator,org.jpmml.evaluator,InputFieldUtil,149,521,39,87,35,136,34,45,0,11
JPMML evaluator,org.jpmml.evaluator,Report.Entry,16,29,0,0,4,12,1,5,1,5
JPMML evaluator,org.jpmml.evaluator,FieldUtil,83,148,14,16,18,41,11,16,2,10
JPMML evaluator,org.jpmml.evaluator,ModelEvaluationContext,36,221,10,25,11,66,9,22,0,13
JPMML evaluator,org.jpmml.evaluator,PMMLAttributes,0,429,0,0,0,107,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,InvalidResultException,0,9,0,0,0,4,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Strings,0,3,0,0,0,1,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,FunctionException,3,14,0,0,1,6,1,2,1,2
JPMML evaluator,org.jpmml.evaluator,InlineTableUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,VerificationUtil,4,98,4,22,1,12,4,12,0,3
JPMML evaluator,org.jpmml.evaluator,MeasureUtil,231,392,49,42,45,83,37,18,0,7
JPMML evaluator,org.jpmml.evaluator,ConfigurationBuilder,6,76,0,6,2,29,0,12,0,9
JPMML evaluator,org.jpmml.evaluator,Functions,0,301,0,0,0,60,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,JavaPredicate,23,0,4,0,8,0,4,0,2,0
JPMML evaluator,org.jpmml.evaluator,TextUtil.TermProcessor,0,37,1,1,0,11,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,LevenshteinDistanceUtil,26,201,11,29,4,44,9,13,0,2
JPMML evaluator,org.jpmml.evaluator,UnsupportedElementException,0,43,1,1,0,8,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactory,0,28,0,2,0,11,0,5,0,4
JPMML evaluator,org.jpmml.evaluator,MatrixUtil,43,289,19,47,9,75,19,24,0,7
JPMML evaluator,org.jpmml.evaluator,Evaluator,0,3,0,0,0,1,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory,14,34,1,1,2,7,2,5,1,5
JPMML evaluator,org.jpmml.evaluator,ExtensionUtil,11,0,2,0,4,0,2,0,1,0
JPMML evaluator,org.jpmml.evaluator,DuplicateValueException,23,0,0,0,5,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator,FloatVector,28,0,0,0,5,0,5,0,5,0
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingSimpleDoubleVector() {...},0,10,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingComplexDoubleVector() {...},11,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator,Regression,12,49,2,2,3,19,3,7,1,7
JPMML evaluator,org.jpmml.evaluator,Report,28,32,2,4,7,7,3,5,2,3
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},5,4,0,0,1,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator,Functions.new AggregateFunction() {...},0,8,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,MissingElementException,4,23,0,0,2,5,1,3,1,3
JPMML evaluator,org.jpmml.evaluator,SparseArrayUtil.new AbstractList() {...},0,31,0,2,0,6,0,4,0,3
JPMML evaluator,org.jpmml.evaluator,SparseArrayUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ReportingFloatValue,1400,56,19,1,157,16,57,5,47,5
JPMML evaluator,org.jpmml.evaluator,EvaluationContext,36,224,6,20,11,59,7,22,2,14
JPMML evaluator,org.jpmml.evaluator,FloatValue,471,138,14,4,83,30,47,18,39,17
JPMML evaluator,org.jpmml.evaluator,ReportingDoubleValue,862,568,10,10,93,80,34,28,28,24
JPMML evaluator,org.jpmml.evaluator,ProbabilityAggregator.new ProbabilityAggregator() {...},0,11,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ProbabilityAggregator.new Function() {...},4,23,1,1,1,4,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,SecondsSinceMidnight.new TemporalField() {...},30,8,0,0,10,2,10,1,10,1
JPMML evaluator,org.jpmml.evaluator,SecondsSinceMidnight.new TemporalQuery() {...},0,32,0,0,0,6,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,InlineTableUtil,27,267,7,29,6,65,7,17,0,6
JPMML evaluator,org.jpmml.evaluator,ProbabilityAggregator.new Function() {...},4,21,1,1,1,4,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,TargetField,9,58,3,3,2,19,3,10,1,9
JPMML evaluator,org.jpmml.evaluator,ModelField,53,46,2,2,16,17,5,8,4,7
JPMML evaluator,org.jpmml.evaluator,EnumUtil,14,49,2,4,4,11,2,3,0,2
JPMML evaluator,org.jpmml.evaluator,ProbabilityDistribution,0,16,0,0,0,5,0,4,0,4
JPMML evaluator,org.jpmml.evaluator,VoteAggregator,0,54,0,4,0,14,0,5,0,3
JPMML evaluator,org.jpmml.evaluator,ValueAggregator.Entry,0,18,0,0,0,5,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,OutputFilters,0,9,0,0,0,2,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,RegExUtil,0,27,0,2,0,6,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,DiscreteValue,0,5,0,0,0,2,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,Configuration,0,43,0,0,0,18,0,9,0,9
JPMML evaluator,org.jpmml.evaluator,SimpleDoubleVector,22,54,2,0,6,14,5,7,4,7
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,6,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ReportFactory,0,3,0,0,0,1,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ModelEvaluator.new AbstractMap() {...},4,21,0,0,1,2,1,2,1,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,38,0,0,0,6,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,38,0,0,0,6,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,28,0,0,0,5,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractNumericFunction() {...},27,4,0,0,5,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractNumericFunction() {...},34,4,2,0,7,1,2,1,1,1
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new TrigonometricFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,InvisibleFieldException,23,0,0,0,5,0,3,0,3,0
JPMML evaluator,org.jpmml.evaluator,EvaluationException,0,9,0,0,0,4,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,MissingValueException,6,17,0,0,2,3,1,2,1,2
JPMML evaluator,org.jpmml.evaluator,DiscretizationUtil,72,316,19,52,16,85,19,26,0,8
JPMML evaluator,org.jpmml.evaluator,Functions.new StringFunction() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new StringFunction() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,PMMLException,59,86,9,9,16,26,6,13,1,9
JPMML evaluator,org.jpmml.evaluator,Functions.new ValueListFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,DiscretizationUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,34,0,4,0,8,0,4,0,2
JPMML evaluator,org.jpmml.evaluator,DiscretizationUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new StringFunction() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,25,0,0,0,7,0,3,0,3
JPMML evaluator,org.jpmml.evaluator,InvalidMarkupException,4,5,0,0,2,2,1,1,1,1
JPMML evaluator,org.jpmml.evaluator,ValueMap,4,35,0,2,1,13,1,6,1,5
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},28,61,2,2,2,11,2,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},9,36,0,0,3,7,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},9,86,2,6,3,16,2,5,0,3
JPMML evaluator,org.jpmml.evaluator,AffinityDistribution,18,39,2,2,5,12,5,7,3,7
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,45,0,0,0,9,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new AbstractFunction() {...},0,35,0,0,0,7,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,SimpleFloatVector,74,0,2,0,19,0,11,0,10,0
JPMML evaluator,org.jpmml.evaluator,DoubleVector,0,28,0,0,0,5,0,5,0,5
JPMML evaluator,org.jpmml.evaluator,XPathUtil,16,123,4,12,4,24,4,10,0,6
JPMML evaluator,org.jpmml.evaluator,FieldValueUtil,0,61,0,14,0,18,0,13,0,6
JPMML evaluator,org.jpmml.evaluator,CategoricalValue,0,49,0,5,0,11,0,8,0,5
JPMML evaluator,org.jpmml.evaluator,ReportingComplexDoubleVector,181,0,2,0,25,0,13,0,12,0
JPMML evaluator,org.jpmml.evaluator,Functions.new EqualityFunction() {...},1,10,1,1,0,2,1,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ComparisonFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ValueFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new EqualityFunction() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ComparisonFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ComparisonFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ComparisonFunction() {...},0,11,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new UnaryBooleanFunction() {...},0,12,0,2,0,2,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new ValueListFunction() {...},0,7,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new BinaryBooleanFunction() {...},0,11,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new BinaryBooleanFunction() {...},0,11,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Numbers,0,37,0,0,0,13,0,1,0,1
JPMML evaluator,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingFloatValueFactory,29,20,2,0,5,4,4,3,3,3
JPMML evaluator,org.jpmml.evaluator,ConfidenceDistribution,16,0,0,0,5,0,4,0,4,0
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,Functions.new MathFunction() {...},0,17,0,2,0,4,0,3,0,2
JPMML evaluator,org.jpmml.evaluator,MissingAttributeException,9,18,0,0,4,3,2,2,2,2
JPMML evaluator,org.jpmml.evaluator,EvaluatorUtil,69,212,8,20,12,53,6,13,1,4
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator,ScalarValue,0,119,2,18,0,28,2,16,0,8
JPMML evaluator,org.jpmml.evaluator,Functions.new FpMathFunction() {...},5,4,0,0,1,1,1,1,1,1
JPMML evaluator,org.jpmml.evaluator,ModelEvaluatorBuilder,117,172,8,2,29,51,11,16,6,16
